ip_address,count,coordinates,latitude,longitude,nearest_university,distance_to_nearest,distance_to_other
177.79.111.103,2,"('-22.895', '-47.0439')",-22.895,-47.0439,OTHER,9830.051383308984,9845.040468345818
185.223.152.187,6,"('34.0544', '-118.2441')",34.0544,-118.2441,USC,5.2175087128524185,18.110600028584923
185.237.102.56,2,"('51.9235', '4.4813')",51.9235,4.4813,OTHER,8959.227321576649,8962.18969870605
151.81.145.97,5,"('41.8904', '12.5126')",41.8904,12.5126,OTHER,10195.808929457582,10199.440653241547
5.249.105.163,2,"('38.731', '-9.1373')",38.731,-9.1373,OTHER,9125.584154643262,9132.616446249021
98.159.125.158,2,"('41.6344', '-91.5054')",41.6344,-91.5054,OTHER,2487.420310843347,2497.5475526591886
130.191.100.66,2,"('32.7638', '-117.07')",32.7638,-117.07,OTHER,179.7768451408449,193.02052805874504
47.41.213.56,8,"('34.0582', '-118.126')",34.0582,-118.126,OTHER,15.228307474981264,28.935487226771055
72.94.147.139,4,"('40.1101', '-75.1567')",40.1101,-75.1567,OTHER,3847.795999562749,3858.821306396865
45.117.247.249,4,"('-18.1301', '178.4098')",-18.1301,178.4098,OTHER,8856.101056501917,8846.516129411102
172.94.104.249,4,"('19.0748', '72.8856')",19.0748,72.8856,OTHER,13993.507334175158,13985.1236154783
35.144.99.146,4,"('38.7669', '-93.7291')",38.7669,-93.7291,OTHER,2252.9449854385903,2264.391561627031
71.234.66.66,6,"('42.0774', '-71.0446')",42.0774,-71.0446,OTHER,4177.589678158817,4187.924555364636
70.137.56.66,6,"('36.1115', '-86.6598')",36.1115,-86.6598,OTHER,2874.99411930618,2887.5495187922447
97.82.56.25,2,"('34.2759', '-86.2045')",34.2759,-86.2045,OTHER,2939.9067908140155,2953.0289532230076
108.28.201.165,2,"('39.068', '-76.9933')",39.068,-76.9933,OTHER,3699.130397419122,3710.520269068413
108.208.219.105,6,"('41.5092', '-87.5938')",41.5092,-87.5938,OTHER,2806.4560771062797,2816.8640824460977
185.99.221.30,4,"('40.812', '29.7574')",40.812,29.7574,OTHER,11073.531811532735,11074.45700575572
98.11.176.224,6,"('42.9526', '-78.895')",42.9526,-78.895,OTHER,3533.783154951204,3543.8321368271063
142.154.182.211,6,"('31.7947', '-85.9607')",31.7947,-85.9607,OTHER,3015.2931563270386,3029.0623390552737
107.130.25.214,2,"('28.4538', '-81.4674')",28.4538,-81.4674,OTHER,3535.4780598932957,3549.6803423181373
66.76.21.198,8,"('32.4257', '-99.7053')",32.4257,-99.7053,OTHER,1734.9934301720202,1749.2733690310424
